Character,Line Count,Dialogue Duration,Wookieepedia Article,Gender,Movie,MovieSort,Word Count
Qui-Gon,283,782.417,https://starwars.fandom.com/wiki/Qui-Gon_Jinn,Male,The Phantom Menace (1999),1,1866
Jar Jar,209,563.077,https://starwars.fandom.com/wiki/Jar_Jar_Binks,Male,The Phantom Menace (1999),1,731
Anakin,196,533.289,https://starwars.fandom.com/wiki/Anakin_Skywalker,Male,The Phantom Menace (1999),1,1077
Padmé,142,378.079,https://starwars.fandom.com/wiki/Padm%C3%A9_Amidala,Female,The Phantom Menace (1999),1,909
Palpatine,91,276.332,https://starwars.fandom.com/wiki/Darth_Sidious,Male,The Phantom Menace (1999),1,647
Kenobi,82,227.537,https://starwars.fandom.com/wiki/Obi-Wan_Kenobi,Male,The Phantom Menace (1999),1,531
Watto,74,216.709,https://starwars.fandom.com/wiki/Watto,Male,The Phantom Menace (1999),1,449
Nute,62,191.208,https://starwars.fandom.com/wiki/Nute_Gunray,Male,The Phantom Menace (1999),1,422
Panaka,53,144.747,https://starwars.fandom.com/wiki/Quarsh_Panaka,Male,The Phantom Menace (1999),1,344
R2-D2,51,133.916,https://starwars.fandom.com/wiki/R2-D2,Male,The Phantom Menace (1999),1,0
Shmi,50,135.373,https://starwars.fandom.com/wiki/Shmi_Skywalker_Lars,Female,The Phantom Menace (1999),1,253
Boss Nass,44,128.622,https://starwars.fandom.com/wiki/Rugor_Nass,Male,The Phantom Menace (1999),1,146
Yoda,40,110.707,https://starwars.fandom.com/wiki/Yoda,Male,The Phantom Menace (1999),1,206
Fode,39,120.459,https://starwars.fandom.com/wiki/Fodesinbeed_Annodue,Male,The Phantom Menace (1999),1,277
C-3PO,27,76.498,https://starwars.fandom.com/wiki/C-3PO,Male,The Phantom Menace (1999),1,160
Sebulba,27,63.415,https://starwars.fandom.com/wiki/Sebulba,Male,The Phantom Menace (1999),1,72
Mace,23,59.042,https://starwars.fandom.com/wiki/Mace_Windu,Male,The Phantom Menace (1999),1,163
Sabé,18,51.166,https://starwars.fandom.com/wiki/Sab%C3%A9,Female,The Phantom Menace (1999),1,102
Ric Olie,18,48.792,https://starwars.fandom.com/wiki/Ric_Oli%C3%A9,Male,The Phantom Menace (1999),1,104
Bibble,17,44.289,https://starwars.fandom.com/wiki/Sio_Bibble,Male,The Phantom Menace (1999),1,102
Tarpals,17,42.666,https://starwars.fandom.com/wiki/Roos_Tarpals,Male,The Phantom Menace (1999),1,65
Beed,15,42.625,https://starwars.fandom.com/wiki/Fodesinbeed_Annodue,Male,The Phantom Menace (1999),1,73
Rune,14,38.584,https://starwars.fandom.com/wiki/Rune_Haako,Male,The Phantom Menace (1999),1,86
Kitster,11,29.626,https://starwars.fandom.com/wiki/Kitster_Banai,Male,The Phantom Menace (1999),1,48
Daultay Dofine,10,26.251,https://starwars.fandom.com/wiki/Daultay_Dofine,Male,The Phantom Menace (1999),1,52
Oom-9,10,24.167,https://starwars.fandom.com/wiki/OOM-9,Male,The Phantom Menace (1999),1,50
Valorum,9,27.917,https://starwars.fandom.com/wiki/Finis_Valorum,Male,The Phantom Menace (1999),1,85
TC-14,8,19.793,https://starwars.fandom.com/wiki/TC-14,Female,The Phantom Menace (1999),1,37
Jabba,7,17.376,https://starwars.fandom.com/wiki/Jabba_Desilijic_Tiure,Male,The Phantom Menace (1999),1,7
Tey How,7,20.917,https://starwars.fandom.com/wiki/Tey_How,Female,The Phantom Menace (1999),1,40
Maul,6,14.791,https://starwars.fandom.com/wiki/Maul,Male,The Phantom Menace (1999),1,33
Eopie,5,11.374,https://starwars.fandom.com/wiki/Eopie,Unknown gender,The Phantom Menace (1999),1,0
Lott Dod,5,13.875,https://starwars.fandom.com/wiki/Lott_Dod,Male,The Phantom Menace (1999),1,30
Pit Droid,5,11.207,https://starwars.fandom.com/wiki/DUM-series_pit_droid,Unknown gender,The Phantom Menace (1999),1,1
Wald,4,9.958,https://starwars.fandom.com/wiki/Wald,Male,The Phantom Menace (1999),1,11
Gungan,4,7.624,https://starwars.fandom.com/wiki/Gungan,Unknown gender,The Phantom Menace (1999),1,7
Maoi Madakor,4,10.459,https://starwars.fandom.com/wiki/Maoi_Madakor,Female,The Phantom Menace (1999),1,18
Kaadu,4,9.792,https://starwars.fandom.com/wiki/Kaadu,Unknown gender,The Phantom Menace (1999),1,0
2163,4,10.084,https://starwars.fandom.com/wiki/2163,Male,The Phantom Menace (1999),1,16
Ben Quadrinaros,3,6.5,https://starwars.fandom.com/wiki/Ben_Quadinaros,Male,The Phantom Menace (1999),1,5
Ki-Adi-Mundi,3,9.333,https://starwars.fandom.com/wiki/Ki-Adi-Mundi,Male,The Phantom Menace (1999),1,21
Sando aqua monster,3,7,https://starwars.fandom.com/wiki/Sando_aqua_monster,Unknown gender,The Phantom Menace (1999),1,0
Rabé,3,8.792,https://starwars.fandom.com/wiki/Rab%C3%A9,Female,The Phantom Menace (1999),1,19
Naboo Creatures,3,10.875,https://starwars.fandom.com/wiki/Naboo,Unknown gender,The Phantom Menace (1999),1,0
Gragra,3,4.999,https://starwars.fandom.com/wiki/Gragra,Female,The Phantom Menace (1999),1,13
Ody Mandrell,3,7.458,https://starwars.fandom.com/wiki/Ody_Mandrell,Male,The Phantom Menace (1999),1,2
Aks Moe,3,7.208,https://starwars.fandom.com/wiki/Aks_Moe,Male,The Phantom Menace (1999),1,18
Arven Wendik,3,9.167,https://starwars.fandom.com/wiki/Arven_Wendik,Male,The Phantom Menace (1999),1,13
Senators,3,7.625,https://starwars.fandom.com/wiki/Galactic_Senate,Unknown gender,The Phantom Menace (1999),1,12
Naboo Pilot,2,3.792,https://starwars.fandom.com/wiki/Naboo_Royal_Space_Fighter_Corps,Unknown gender,The Phantom Menace (1999),1,2
Mas Amedda,2,5.833,https://starwars.fandom.com/wiki/Mas_Amedda,Male,The Phantom Menace (1999),1,4
Tusken Raiders,2,4,https://starwars.fandom.com/wiki/Tusken_Raider,Unknown gender,The Phantom Menace (1999),1,0
Gungans,2,5.959,https://starwars.fandom.com/wiki/Gungan,Unknown gender,The Phantom Menace (1999),1,0
Dineé Ellberger,2,3.709,https://starwars.fandom.com/wiki/Dine%C3%A9_Ellberger,Female,The Phantom Menace (1999),1,11
Seek,2,5.542,https://starwars.fandom.com/wiki/Seek,Male,The Phantom Menace (1999),1,16
Jira,2,6.834,https://starwars.fandom.com/wiki/Jira,Female,The Phantom Menace (1999),1,14
Jawas,2,5.791,https://starwars.fandom.com/wiki/Jawa,Unknown gender,The Phantom Menace (1999),1,1
Bantha,2,5.541,https://starwars.fandom.com/wiki/Bantha,Unknown gender,The Phantom Menace (1999),1,0
Amee,2,5,https://starwars.fandom.com/wiki/Amee,Female,The Phantom Menace (1999),1,10
Battle Droid,2,4,https://starwars.fandom.com/wiki/B1-series_battle_droid,Male,The Phantom Menace (1999),1,4
Colo claw fish,2,4.291,https://starwars.fandom.com/wiki/Colo_claw_fish,Unknown gender,The Phantom Menace (1999),1,0
OWO-1,2,5.375,https://starwars.fandom.com/wiki/OWO-1,Male,The Phantom Menace (1999),1,10
Sith Probe Droid,2,4.042,https://starwars.fandom.com/wiki/DRK-1_Dark_Eye_probe_droid,Unknown gender,The Phantom Menace (1999),1,0
Opee sea killer,1,2.917,https://starwars.fandom.com/wiki/Opee_sea_killer,Unknown gender,The Phantom Menace (1999),1,0
Jerus Jannick,1,2.875,https://starwars.fandom.com/wiki/Jerus_Jannick,Male,The Phantom Menace (1999),1,6
Battle Droids,1,1.708,https://starwars.fandom.com/wiki/B1-series_battle_droid,Male,The Phantom Menace (1999),1,0
Pelikki,1,2.5,https://starwars.fandom.com/wiki/Pelikki,Unknown gender,The Phantom Menace (1999),1,0
Corporal Battle Droid,1,2.917,https://starwars.fandom.com/wiki/Unidentified_Security_Battle_Droid,Male,The Phantom Menace (1999),1,2
G8-R3,1,3,https://starwars.fandom.com/wiki/G8-R3,Unknown gender,The Phantom Menace (1999),1,0
7276,1,2.333,https://starwars.fandom.com/wiki/7276,Male,The Phantom Menace (1999),1,2
R2-R9,1,2.167,https://starwars.fandom.com/wiki/R2-R9,Unknown gender,The Phantom Menace (1999),1,0
Antidar Williams,1,1.792,https://starwars.fandom.com/wiki/Antidar_Williams,Male,The Phantom Menace (1999),1,2
Clegg Holdfast,1,2.75,https://starwars.fandom.com/wiki/Clegg_Holdfast,Male,The Phantom Menace (1999),1,2
Dewback,1,2.125,https://starwars.fandom.com/wiki/Dewback,Unknown gender,The Phantom Menace (1999),1,0
Pit Droids,1,2.083,https://starwars.fandom.com/wiki/DUM-series_pit_droid,Unknown gender,The Phantom Menace (1999),1,0
Podracing Crowd,1,4.25,https://starwars.fandom.com/wiki/Boonta_Eve_Classic,Unknown gender,The Phantom Menace (1999),1,8
Podracing Spectator,1,3.5,https://starwars.fandom.com/wiki/Boonta_Eve_Classic,Unknown gender,The Phantom Menace (1999),1,1
Mars Guo,1,2.917,https://starwars.fandom.com/wiki/Mars_Guo,Male,The Phantom Menace (1999),1,1
Niai Fieso,1,2.292,https://starwars.fandom.com/wiki/Niai_Fieso,Male,The Phantom Menace (1999),1,0
Nuna,1,2.875,https://starwars.fandom.com/wiki/Nuna,Unknown gender,The Phantom Menace (1999),1,0
Melee,1,3.083,https://starwars.fandom.com/wiki/Melee,Female,The Phantom Menace (1999),1,5
Mawhonic,1,3.708,https://starwars.fandom.com/wiki/Mawhonic,Male,The Phantom Menace (1999),1,1
Gorg,1,2.375,https://starwars.fandom.com/wiki/Gorg,Unknown gender,The Phantom Menace (1999),1,0
Weazel,1,1.833,https://starwars.fandom.com/wiki/Weazel,Male,The Phantom Menace (1999),1,1
Porro Dolphe,1,3,https://starwars.fandom.com/wiki/Porro_Dolphe,Male,The Phantom Menace (1999),1,1
Anakin,278,681.216,https://starwars.fandom.com/wiki/Anakin_Skywalker,Male,Attack of the Clones (2002),2,1550
Kenobi,242,598.872,https://starwars.fandom.com/wiki/Obi-Wan_Kenobi,Male,Attack of the Clones (2002),2,1529
Padmé,152,373.631,https://starwars.fandom.com/wiki/Padmé_Amidala,Female,Attack of the Clones (2002),2,1014
Yoda,86,266.913,https://starwars.fandom.com/wiki/Yoda,Male,Attack of the Clones (2002),2,441
Dooku,78,222.708,https://starwars.fandom.com/wiki/Dooku,Male,Attack of the Clones (2002),2,567
C-3PO,54,153.25,https://starwars.fandom.com/wiki/C-3PO,Male,Attack of the Clones (2002),2,354
Palpatine,48,138.792,https://starwars.fandom.com/wiki/Darth_Sidious,Male,Attack of the Clones (2002),2,313
Lama Su,44,129.291,https://starwars.fandom.com/wiki/Lama_Su,Male,Attack of the Clones (2002),2,296
Mace,38,108.917,https://starwars.fandom.com/wiki/Mace_Windu,Male,Attack of the Clones (2002),2,287
R2-D2,29,76.668,https://starwars.fandom.com/wiki/R2-D2,Male,Attack of the Clones (2002),2,0
Watto,26,78.209,https://starwars.fandom.com/wiki/Watto,Male,Attack of the Clones (2002),2,142
Dexter,25,75.75,https://starwars.fandom.com/wiki/Dexter_Jettster,Male,Attack of the Clones (2002),2,148
Jango,24,58.959,https://starwars.fandom.com/wiki/Jango_Fett,Male,Attack of the Clones (2002),2,159
Cliegg,22,73.792,https://starwars.fandom.com/wiki/Cliegg_Lars,Male,Attack of the Clones (2002),2,163
Jar Jar,18,59.961,https://starwars.fandom.com/wiki/Jar_Jar_Binks,Male,Attack of the Clones (2002),2,97
Taun We,16,39.75,https://starwars.fandom.com/wiki/Taun_We,Female,Attack of the Clones (2002),2,75
Typho,16,39.75,https://starwars.fandom.com/wiki/Gregar_Typho,Male,Attack of the Clones (2002),2,108
Shmi,15,34.707,https://starwars.fandom.com/wiki/Shmi_Skywalker_Lars,Female,Attack of the Clones (2002),2,44
R4-P17,14,33,https://starwars.fandom.com/wiki/R4-P17,Female,Attack of the Clones (2002),2,0
Reek,11,25.875,https://starwars.fandom.com/wiki/Reek,Unknown gender,Attack of the Clones (2002),2,0
Boba,10,20.499,https://starwars.fandom.com/wiki/Boba_Fett,Male,Attack of the Clones (2002),2,29
Nute,9,28.75,https://starwars.fandom.com/wiki/Nute_Gunray,Male,Attack of the Clones (2002),2,69
Poggle,9,30.583,https://starwars.fandom.com/wiki/Poggle_the_Lesser,Male,Attack of the Clones (2002),2,68
Jocasta Nu,9,23.875,https://starwars.fandom.com/wiki/Jocasta_Nu,Female,Attack of the Clones (2002),2,58
Geonosians,7,15.833,https://starwars.fandom.com/wiki/Geonosian,Unknown gender,Attack of the Clones (2002),2,0
Geonosian,7,14.667,https://starwars.fandom.com/wiki/Geonosian,Unknown gender,Attack of the Clones (2002),2,1
Nexu,7,16.416,https://starwars.fandom.com/wiki/Nexu,Unknown gender,Attack of the Clones (2002),2,0
Bibble,7,21.668,https://starwars.fandom.com/wiki/Sio_Bibble,Male,Attack of the Clones (2002),2,50
Bail,6,12.958,https://starwars.fandom.com/wiki/Bail_Prestor_Organa,Male,Attack of the Clones (2002),2,45
Jamillia,6,16.001,https://starwars.fandom.com/wiki/Jamillia,Female,Attack of the Clones (2002),2,50
Acklay,6,13.334,https://starwars.fandom.com/wiki/Acklay,Unknown gender,Attack of the Clones (2002),2,0
Zam,5,13.5,https://starwars.fandom.com/wiki/Zam_Wesell,Female,Attack of the Clones (2002),2,29
Massiff,5,10.916,https://starwars.fandom.com/wiki/Massiff,Unknown gender,Attack of the Clones (2002),2,0
Mas Amedda,5,15.749,https://starwars.fandom.com/wiki/Mas_Amedda,Male,Attack of the Clones (2002),2,32
Battle Droid,4,8.541,https://starwars.fandom.com/wiki/B1-series_battle_droid,Male,Attack of the Clones (2002),2,12
Dormé,4,10.667,https://starwars.fandom.com/wiki/Dormé,Female,Attack of the Clones (2002),2,26
Shaak,4,12.333,https://starwars.fandom.com/wiki/Shaak,Unknown gender,Attack of the Clones (2002),2,0
Owen,4,10.125,https://starwars.fandom.com/wiki/Owen_Lars,Male,Attack of the Clones (2002),2,26
Sleazebaggano,3,7.084,https://starwars.fandom.com/wiki/Elan_Sel'Sabagno,Male,Attack of the Clones (2002),2,24
Clone Trooper,3,8.416,https://starwars.fandom.com/wiki/Clone_trooper,Male,Attack of the Clones (2002),2,15
Wat Tambor,3,7.792,https://starwars.fandom.com/wiki/Wat_Tambor,Male,Attack of the Clones (2002),2,9
Cordé,3,6.791,https://starwars.fandom.com/wiki/Cordé,Female,Attack of the Clones (2002),2,11
Hermione,3,7.459,https://starwars.fandom.com/wiki/Hermione_Bagwa,Female,Attack of the Clones (2002),2,18
Dar Wac,2,4.083,https://starwars.fandom.com/wiki/Dar_Wac,Male,Attack of the Clones (2002),2,11
COO-2180,2,5.75,https://starwars.fandom.com/wiki/COO-2180,Unknown gender,Attack of the Clones (2002),2,7
Clone Pilot,2,6.292,https://starwars.fandom.com/wiki/Clone_trooper_pilot,Male,Attack of the Clones (2002),2,7
Senators,2,6.291,https://starwars.fandom.com/wiki/Galactic_Senate,Unknown gender,Attack of the Clones (2002),2,3
J. K. Burtola,2,6.583,https://starwars.fandom.com/wiki/J._K._Burtola,Male,Attack of the Clones (2002),2,9
Seboca,2,3.166,https://starwars.fandom.com/wiki/Seboca,Male,Attack of the Clones (2002),2,5
Tusken Raider,2,2.625,https://starwars.fandom.com/wiki/Tusken_Raider,Male,Attack of the Clones (2002),2,0
Clone Captain,2,4.209,https://starwars.fandom.com/wiki/Unidentified_Clone_Captain_(Geonosis),Male,Attack of the Clones (2002),2,8
CRC-09/571,2,5.667,https://starwars.fandom.com/wiki/CRC-09/571,Male,Attack of the Clones (2002),2,14
Ask Aak,2,5.708,https://starwars.fandom.com/wiki/Ask_Aak,Male,Attack of the Clones (2002),2,10
RIC-920,2,4,https://starwars.fandom.com/wiki/RIC-920,Unknown gender,Attack of the Clones (2002),2,6
Orray,2,2.833,https://starwars.fandom.com/wiki/Orray,Unknown gender,Attack of the Clones (2002),2,0
FA-4 pilot,1,2.333,https://starwars.fandom.com/wiki/FA-4_pilot_droid,Unknown gender,Attack of the Clones (2002),2,0
CT-411,1,3.833,https://starwars.fandom.com/wiki/CT-411,Male,Attack of the Clones (2002),2,11
Bar patron,1,3.583,https://starwars.fandom.com/wiki/Outlander_Club,Unknown gender,Attack of the Clones (2002),2,6
Ki-Adi-Mundi,1,3.875,https://starwars.fandom.com/wiki/Ki-Adi-Mundi,Male,Attack of the Clones (2002),2,8
Gorothin Vagger,1,2.833,https://starwars.fandom.com/wiki/Gorothin_Vagger,Male,Attack of the Clones (2002),2,0
Qui-Gon,1,4.292,https://starwars.fandom.com/wiki/Qui-Gon_Jinn,Male,Attack of the Clones (2002),2,3
Woman Jedi,1,1.208,https://starwars.fandom.com/wiki/Jedi,Female,Attack of the Clones (2002),2,1
Magaloof,1,2.875,https://starwars.fandom.com/wiki/Magaloof,Male,Attack of the Clones (2002),2,2
San Hill,1,3.833,https://starwars.fandom.com/wiki/San_Hill,Male,Attack of the Clones (2002),2,7
ASN-121,1,0.958,https://starwars.fandom.com/wiki/ASN-121,Unknown gender,Attack of the Clones (2002),2,0
Shu Mai,1,3.875,https://starwars.fandom.com/wiki/Shu_Mai,Female,Attack of the Clones (2002),2,9
Younglings,1,2.833,https://starwars.fandom.com/wiki/Jedi_Initiate,Unknown gender,Attack of the Clones (2002),2,3
Beru,1,3,https://starwars.fandom.com/wiki/Beru_Whitesun_Lars,Female,Attack of the Clones (2002),2,1
Theomet Danlé,1,2.833,https://starwars.fandom.com/wiki/Theomet_Danlé,Male,Attack of the Clones (2002),2,8
Rune,1,3.25,https://starwars.fandom.com/wiki/Rune_Haako,Male,Attack of the Clones (2002),2,8
Palpatine,266,865.832,https://starwars.fandom.com/wiki/Darth_Sidious,Male,Revenge of the Sith (2005),3,1454
Kenobi,238,652.132,https://starwars.fandom.com/wiki/Obi-Wan_Kenobi,Male,Revenge of the Sith (2005),3,1495
Anakin,231,641.881,https://starwars.fandom.com/wiki/Anakin_Skywalker,Male,Revenge of the Sith (2005),3,1325
Padmé,115,309.835,https://starwars.fandom.com/wiki/Padmé_Amidala,Female,Revenge of the Sith (2005),3,593
Vader,98,268.659,https://starwars.fandom.com/wiki/Anakin_Skywalker,Male,Revenge of the Sith (2005),3,431
Yoda,77,264,https://starwars.fandom.com/wiki/Yoda,Male,Revenge of the Sith (2005),3,477
Grievous,70,217.043,https://starwars.fandom.com/wiki/Grievous,Male,Revenge of the Sith (2005),3,197
R2-D2,61,151.503,https://starwars.fandom.com/wiki/R2-D2,Male,Revenge of the Sith (2005),3,0
Mace,55,156.501,https://starwars.fandom.com/wiki/Mace_Windu,Male,Revenge of the Sith (2005),3,367
Bail,33,79.208,https://starwars.fandom.com/wiki/Bail_Prestor_Organa,Male,Revenge of the Sith (2005),3,176
C-3PO,20,54.832,https://starwars.fandom.com/wiki/C-3PO,Male,Revenge of the Sith (2005),3,116
Clone Trooper,16,31.876,https://starwars.fandom.com/wiki/Clone_trooper,Male,Revenge of the Sith (2005),3,58
Boga,16,33.418,https://starwars.fandom.com/wiki/Boga,Female,Revenge of the Sith (2005),3,0
Cody,14,36.167,https://starwars.fandom.com/wiki/CC-2224,Male,Revenge of the Sith (2005),3,77
Chewie,12,27.792,https://starwars.fandom.com/wiki/Chewbacca,Male,Revenge of the Sith (2005),3,0
Ki-Adi-Mundi,10,29.708,https://starwars.fandom.com/wiki/Ki-Adi-Mundi,Male,Revenge of the Sith (2005),3,62
Tarfful,10,23.833,https://starwars.fandom.com/wiki/Tarfful,Male,Revenge of the Sith (2005),3,0
Pilot Battle Droid,9,25.041,https://starwars.fandom.com/wiki/OOM_pilot_battle_droid,Male,Revenge of the Sith (2005),3,27
Super Battle Droid,9,21.668,https://starwars.fandom.com/wiki/B2-series_super_battle_droid,Male,Revenge of the Sith (2005),3,29
Battle Droid,9,18.125,https://starwars.fandom.com/wiki/B1-series_battle_droid,Male,Revenge of the Sith (2005),3,14
Tion Medon,8,28.584,https://starwars.fandom.com/wiki/Tion_Medon,Male,Revenge of the Sith (2005),3,41
Dooku,8,24.541,https://starwars.fandom.com/wiki/Dooku,Male,Revenge of the Sith (2005),3,49
Buzz Droid,7,21.959,https://starwars.fandom.com/wiki/Pistoeka_sabotage_droid,Unknown gender,Revenge of the Sith (2005),3,0
Nute,7,25.042,https://starwars.fandom.com/wiki/Nute_Gunray,Male,Revenge of the Sith (2005),3,52
GH-7 medical assistance droid,6,15.916,https://starwars.fandom.com/wiki/GH-7_series_medical_assistance_droid,Unknown gender,Revenge of the Sith (2005),3,39
Security Battle Droid,6,11.25,https://starwars.fandom.com/wiki/OOM-series_security_droid,Male,Revenge of the Sith (2005),3,16
Luke,5,13.917,https://starwars.fandom.com/wiki/Luke_Skywalker,Male,Revenge of the Sith (2005),3,0
Mas Amedda,5,18.917,https://starwars.fandom.com/wiki/Mas_Amedda,Male,Revenge of the Sith (2005),3,25
Lushros Dofine,4,12.167,https://starwars.fandom.com/wiki/Lushros_Dofine,Male,Revenge of the Sith (2005),3,20
Dactillion,4,8.084,https://starwars.fandom.com/wiki/Dactillion,Unknown gender,Revenge of the Sith (2005),3,0
Chroon-Tan B-Machine,4,13.001,https://starwars.fandom.com/wiki/Chroon-Tan_B-Machine,Female,Revenge of the Sith (2005),3,7
CC-1119,4,11.501,https://starwars.fandom.com/wiki/CC-1119,Male,Revenge of the Sith (2005),3,23
R4-P17,3,8.167,https://starwars.fandom.com/wiki/R4-P17,Female,Revenge of the Sith (2005),3,0
Gree,3,10.791,https://starwars.fandom.com/wiki/CC-1004,Male,Revenge of the Sith (2005),3,13
Clone Pilot,3,7.001,https://starwars.fandom.com/wiki/Clone_trooper_pilot,Male,Revenge of the Sith (2005),3,14
CC-4477,2,4.541,https://starwars.fandom.com/wiki/CC-4477,Male,Revenge of the Sith (2005),3,12
MagnaGuard,2,5.833,https://starwars.fandom.com/wiki/IG-100_MagnaGuard,Male,Revenge of the Sith (2005),3,1
DLC-13 Mining Droid,2,4.333,https://starwars.fandom.com/wiki/DLC-13_mining_droid,Unknown gender,Revenge of the Sith (2005),3,0
Wookiee,2,9.666,https://starwars.fandom.com/wiki/Wookiee,Unknown gender,Revenge of the Sith (2005),3,0
Imperial Shock Trooper,2,4.75,https://starwars.fandom.com/wiki/Imperial_shock_trooper,Male,Revenge of the Sith (2005),3,8
Jeremoch Colton,2,5.041,https://starwars.fandom.com/wiki/Jeremoch_Colton,Male,Revenge of the Sith (2005),3,11
Eopie,2,3.916,https://starwars.fandom.com/wiki/Eopie,Unknown gender,Revenge of the Sith (2005),3,0
Sors Bandeam,2,4.333,https://starwars.fandom.com/wiki/Sors_Bandeam,Male,Revenge of the Sith (2005),3,14
CC-2237,2,4.417,https://starwars.fandom.com/wiki/CC-2237,Male,Revenge of the Sith (2005),3,9
Advanced Recon Force Scout Trooper,2,4.875,https://starwars.fandom.com/wiki/Advanced_Recon_Force_Scout_Trooper,Male,Revenge of the Sith (2005),3,11
Typho,2,3.833,https://starwars.fandom.com/wiki/Gregar_Typho,Male,Revenge of the Sith (2005),3,14
Raymus Antilles,1,2.125,https://starwars.fandom.com/wiki/Raymus_Antilles,Male,Revenge of the Sith (2005),3,3
Pilot Battle Droids,1,2.208,https://starwars.fandom.com/wiki/OOM_pilot_battle_droid,Male,Revenge of the Sith (2005),3,2
Vulture Droid,1,3.208,"https://starwars.fandom.com/wiki/Variable_Geometry_Self-Propelled_Battle_Droid,_Mark_I",Unknown gender,Revenge of the Sith (2005),3,0
Fire Team Three Pilot,1,2.708,https://starwars.fandom.com/wiki/Fire_Team_Three,Male,Revenge of the Sith (2005),3,4
Buzzard,1,1.917,https://starwars.fandom.com/wiki/Saleucami_buzzard,Unknown gender,Revenge of the Sith (2005),3,0
Saesee Tiin,1,1.958,https://starwars.fandom.com/wiki/Saesee_Tiin,Male,Revenge of the Sith (2005),3,0
Droideka,1,2.167,https://starwars.fandom.com/wiki/Droideka,Unknown gender,Revenge of the Sith (2005),3,0
Kit Fisto,1,1.292,https://starwars.fandom.com/wiki/Kit_Fisto,Male,Revenge of the Sith (2005),3,0
CT-0000/1010,1,2.542,https://starwars.fandom.com/wiki/CT-0000/1010,Male,Revenge of the Sith (2005),3,7
Leia,1,3.042,https://starwars.fandom.com/wiki/Leia_Skywalker_Organa_Solo,Female,Revenge of the Sith (2005),3,0
R4-G9,1,1.75,https://starwars.fandom.com/wiki/R4-G9,Female,Revenge of the Sith (2005),3,0
Lampay Fay,1,4.083,https://starwars.fandom.com/wiki/Lampay_Fay,Male,Revenge of the Sith (2005),3,5
Agen Kolar,1,1.958,https://starwars.fandom.com/wiki/Agen_Kolar,Male,Revenge of the Sith (2005),3,0
CT-55/11-9009,1,1.625,https://starwars.fandom.com/wiki/CT-55/11-9009,Male,Revenge of the Sith (2005),3,6
Tusken Raider,1,2.542,https://starwars.fandom.com/wiki/Tusken_Raider,Unknown gender,Revenge of the Sith (2005),3,0
Mouse Droids,1,3.625,https://starwars.fandom.com/wiki/MSE_series,Unknown gender,Revenge of the Sith (2005),3,0
Vulture Droids,1,3.167,"https://starwars.fandom.com/wiki/Variable_Geometry_Self-Propelled_Battle_Droid,_Mark_I",Unknown gender,Revenge of the Sith (2005),3,0
Jar Jar,1,1.917,https://starwars.fandom.com/wiki/Jar_Jar_Binks,Male,Revenge of the Sith (2005),3,2
Rune,1,3.833,https://starwars.fandom.com/wiki/Rune_Haako,Male,Revenge of the Sith (2005),3,2
Crab Droid,1,1.792,https://starwars.fandom.com/wiki/LM-432_crab_droid,Unknown gender,Revenge of the Sith (2005),3,0
Merumeru,1,3.25,https://starwars.fandom.com/wiki/Merumeru,Male,Revenge of the Sith (2005),3,0
Poggle,1,3.208,https://starwars.fandom.com/wiki/Poggle_the_Lesser,Male,Revenge of the Sith (2005),3,0
Wookiees,1,3.25,https://starwars.fandom.com/wiki/Wookiee,Unknown gender,Revenge of the Sith (2005),3,0
Felucia bird,1,1.917,https://starwars.fandom.com/wiki/Felucia_bird,Unknown gender,Revenge of the Sith (2005),3,0
Utai,1,3.25,https://starwars.fandom.com/wiki/Utai,Unknown gender,Revenge of the Sith (2005),3,0
Probe Droid,1,1.917,https://starwars.fandom.com/wiki/Probe_droid,Unknown gender,Revenge of the Sith (2005),3,0
Orn Free Taa,1,1.917,https://starwars.fandom.com/wiki/Orn_Free_Taa,Male,Revenge of the Sith (2005),3,2
Clone Paratrooper,1,1.958,https://starwars.fandom.com/wiki/Clone_paratrooper,Male,Revenge of the Sith (2005),3,8
